season,mechanism,alpha,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_entropy,tpi_mean,fan_influence_rate,robust_fail_rate,outlier_mult
12,percent_cap,0.5,50,3,Chelsea Kane,Chelsea Kane,0.36,1.2413098026664138,0.484375,0.64,0.78,10.0
13,percent,0.5,50,3,Rob Kardashian,J.R. Martinez,0.36,1.2068518565713897,0.4375,0.76,0.92,10.0
13,rank,0.5,50,3,Rob Kardashian,J.R. Martinez,0.6,0.6730116670092565,0.7,0.6,0.64,10.0
13,percent_judge_save,0.5,50,3,Rob Kardashian,Ricki Lake,0.42,1.079208357527579,0.45,0.68,0.88,10.0
13,percent_sqrt,0.5,50,3,Rob Kardashian,J.R. Martinez,0.4,1.1951747117893967,0.4375,0.78,0.88,10.0
13,percent_log,0.5,50,3,Rob Kardashian,Ricki Lake,0.52,1.218215326048202,0.3617021276595745,0.74,0.9,10.0
13,dynamic_weight,0.5,50,3,Rob Kardashian,J.R. Martinez,0.38,1.2334660604166652,0.5520833333333334,0.66,0.9,10.0
13,percent_cap,0.5,50,3,Rob Kardashian,J.R. Martinez,0.38,1.2861084128518383,0.4787234042553192,0.74,0.88,10.0
14,percent,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.36,1.1718457211381337,0.5255102040816326,0.64,0.88,10.0
14,rank,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.44,1.2195745763224866,0.601063829787234,0.56,0.58,10.0
14,percent_judge_save,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.36,1.3262705419947776,0.5434782608695652,0.64,0.78,10.0
14,percent_sqrt,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.42,1.2245309253045251,0.578125,0.58,0.68,10.0
14,percent_log,0.5,50,3,Katherine Jenkins,Donald Driver,0.4,1.2229005990117945,0.421875,0.78,0.8,10.0
14,dynamic_weight,0.5,50,3,Katherine Jenkins,Donald Driver,0.4,1.2301241089406996,0.4375,0.76,0.74,10.0
14,percent_cap,0.5,50,3,Katherine Jenkins,Donald Driver,0.34,1.2213611297792417,0.5,0.68,0.82,10.0
15,percent,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.34,1.4035118378582834,0.5222222222222223,0.66,0.82,10.0
15,rank,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.84,0.4999531052023729,0.91,0.16,0.36,10.0
15,percent_judge_save,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.46,1.2693424525678587,0.40217391304347827,0.72,0.84,10.0
15,percent_sqrt,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.42,1.2081701435992152,0.4891304347826087,0.6,0.86,10.0
15,percent_log,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.38,1.32889176262032,0.5760869565217391,0.62,0.88,10.0
15,dynamic_weight,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.36,1.2896480613063994,0.5212765957446809,0.64,0.86,10.0
15,percent_cap,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.42,1.3699563228883302,0.5666666666666667,0.58,0.78,10.0
16,percent,0.5,50,4,Kellie Pickler,Kellie Pickler,0.36,1.169260583314141,0.54421768707483,0.64,0.9,10.0
16,rank,0.5,50,4,Kellie Pickler,Zendaya,0.66,0.6410354778811556,0.8333333333333335,0.66,0.42,10.0
16,percent_judge_save,0.5,50,4,Kellie Pickler,Zendaya,0.5,1.1742810988134402,0.6533333333333333,0.74,0.84,10.0
16,percent_sqrt,0.5,50,4,Kellie Pickler,Kellie Pickler,0.38,1.1562247645531594,0.6233333333333333,0.62,0.94,10.0
16,percent_log,0.5,50,4,Kellie Pickler,Zendaya,0.48,1.2626426108963704,0.6319444444444445,0.76,0.84,10.0
16,dynamic_weight,0.5,50,4,Kellie Pickler,Zendaya,0.36,1.2812837304252729,0.5766666666666667,0.7,0.86,10.0
16,percent_cap,0.5,50,4,Kellie Pickler,Kellie Pickler,0.36,1.0957815752757503,0.5833333333333334,0.64,0.9,10.0
17,percent,0.5,50,4,Amber Riley,Corbin Bleu,0.4,1.1596148719498203,0.6333333333333334,0.74,0.88,10.0
17,rank,0.5,50,4,Amber Riley,Corbin Bleu,0.56,0.6859298002523728,0.8133333333333335,0.56,0.64,10.0
17,percent_judge_save,0.5,50,4,Amber Riley,Corbin Bleu,0.5,1.0296530140645737,0.6333333333333333,0.8,0.86,10.0
17,percent_sqrt,0.5,50,4,Amber Riley,Jack Osbourne,0.38,1.225065400486638,0.6111111111111112,0.78,0.92,10.0
17,percent_log,0.5,50,4,Amber Riley,Corbin Bleu,0.34,1.4540130113256233,0.5972222222222223,0.74,0.9,10.0
17,dynamic_weight,0.5,50,4,Amber Riley,Amber Riley,0.34,1.3391634699475075,0.6666666666666666,0.66,0.94,10.0
